pl_name,habitable

GJ 876 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 876 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 876 d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 876 e,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 887 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 887 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 9066 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 9066 c,CHZ invalid |  Kepler invalid (not enough data)

GJ 96 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 9689 b,CHZ invalid |  Kepler invalid (not enough data)

GJ 9827 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GJ 9827 c,CHZ invalid (not enough data) |  Kepler invalid

GJ 9827 d,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GPX-1 b,CHZ invalid |  Kepler invalid

GQ Lup b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GSC 06214-00210 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

GU Psc b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

Gaia-1 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

Gaia-2 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

Gl 378 b,CHZ invalid |  Kepler invalid (not enough data)

Gl 49 b,CHZ invalid |  Kepler invalid (not enough data)

Gl 686 b,CHZ invalid |  Kepler invalid (not enough data)

HAT-P-1 b,CHZ invalid |  Kepler invalid (not enough data)

HAT-P-11 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-11 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-12 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-13 b,CHZ invalid |  Kepler invalid

HAT-P-13 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-14 b,CHZ invalid |  Kepler invalid

HAT-P-15 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-16 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-17 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-17 c,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-18 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-19 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-2 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-20 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-21 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-22 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-23 b,CHZ invalid |  Kepler invalid

HAT-P-24 b,CHZ invalid |  Kepler invalid

HAT-P-25 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-26 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-27 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-28 b,CHZ invalid |  Kepler invalid

HAT-P-29 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-3 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-30 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-31 b,CHZ invalid |  Kepler invalid

HAT-P-32 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-33 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-34 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-35 b,CHZ invalid |  Kepler invalid

HAT-P-36 b,CHZ invalid |  Kepler invalid

HAT-P-37 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-38 b,CHZ invalid |  Kepler invalid

HAT-P-39 b,CHZ invalid |  Kepler invalid

HAT-P-4 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-40 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-41 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-42 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-43 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-44 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-44 c,CHZ invalid |  Kepler invalid (not enough data)

HAT-P-45 b,CHZ invalid |  Kepler invalid

HAT-P-46 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-49 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-5 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-50 b,CHZ invalid |  Kepler invalid

HAT-P-51 b,CHZ invalid |  Kepler invalid

HAT-P-52 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-53 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-54 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-55 b,CHZ invalid (not enough data) |  Kepler invalid

HAT-P-56 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-57 b,CHZ invalid |  Kepler invalid (not enough data)

HAT-P-58 b,CHZ invalid |  Kepler invalid

HAT-P-59 b,CHZ invalid |  Kepler invalid

HAT-P-6 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-60 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-61 b,CHZ invalid |  Kepler invalid

HAT-P-62 b,CHZ invalid |  Kepler invalid

HAT-P-63 b,CHZ invalid |  Kepler invalid

HAT-P-64 b,CHZ invalid |  Kepler invalid

HAT-P-65 b,CHZ invalid |  Kepler invalid

HAT-P-66 b,CHZ invalid |  Kepler invalid

HAT-P-67 b,CHZ invalid |  Kepler invalid

HAT-P-68 b,CHZ invalid |  Kepler invalid

HAT-P-69 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-7 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-70 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-8 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HAT-P-9 b,CHZ invalid (not enough data) |  Kepler invalid

HATS-1 b,CHZ invalid |  Kepler invalid

HATS-10 b,CHZ invalid |  Kepler invalid

HATS-11 b,CHZ invalid |  Kepler invalid

HATS-12 b,CHZ invalid |  Kepler invalid

HATS-13 b,CHZ invalid (not enough data) |  Kepler invalid

HATS-14 b,CHZ invalid (not enough data) |  Kepler invalid

HATS-15 b,CHZ invalid |  Kepler invalid

HATS-16 b,CHZ invalid |  Kepler invalid

HATS-17 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-18 b,CHZ invalid |  Kepler invalid

HATS-2 b,CHZ invalid |  Kepler invalid

HATS-22 b,CHZ invalid |  Kepler invalid

HATS-23 b,CHZ invalid |  Kepler invalid

HATS-24 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-25 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-26 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-27 b,CHZ invalid |  Kepler invalid

HATS-28 b,CHZ invalid |  Kepler invalid

HATS-29 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-3 b,CHZ invalid (not enough data) |  Kepler invalid

HATS-30 b,CHZ invalid |  Kepler invalid

HATS-31 b,CHZ invalid |  Kepler invalid

HATS-32 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-33 b,CHZ invalid |  Kepler invalid

HATS-34 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-35 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-36 b,CHZ invalid (not enough data) |  Kepler invalid (not enough data)

HATS-37 A b,CHZ invalid |  Kepler invalid

HATS-38 b,CHZ invalid |  Kepler invalid

